batch_id,research_order_in_batch,subject_id,name,preassigned_axis,event_year,polarity,event_type,event_description,source_url,source_title,source_publisher,source_date,source_quality,eligibility_note,exclude,exclude_reason
2,10,V5DEV_035,Benoît Paire,COMPETITIVE,2019,positive,tour_title_win,"Won the ATP Tour singles title in Lyon, his third career ATP singles title.",https://www.fft.fr/actualites/benoit-paire-une-faim-de-lyon,"Benoît Paire, une faim de Lyon !",Fédération française de tennis,2019-05-25,high,Direct ATP Tour singles title win.,False,
2,20,V5DEV_110,Thomas P. O'Neill III,STATUS,1974,positive,lieutenant_governor_election_win,"Won the Democratic lieutenant-governor nomination and then won the Massachusetts gubernatorial election on the ticket with Michael Dukakis, taking office as lieutenant governor in 1975.",https://www.upi.com/Archives/1988/07/10/Democrats-88-Michael-Dukakis-A-political-career-resurrected/3684584510400/,Democrats 88: Michael Dukakis: A political career resurrected,UPI,1988-07-10,high,Direct election/accession to statewide executive office.,False,
2,20,V5DEV_110,Thomas P. O'Neill III,STATUS,1975,positive,lieutenant_governor_accession,Began serving as Lieutenant Governor of Massachusetts.,https://politicalgraveyard.com/bio/oneill.html,The Political Graveyard: Index to Politicians: Oneill,The Political Graveyard,,medium,Direct accession to statewide executive office.,False,
2,20,V5DEV_110,Thomas P. O'Neill III,STATUS,1982,negative,gubernatorial_bid_withdrawal,Withdrew from the Massachusetts gubernatorial race after having announced his candidacy in 1981.,https://bostonlocaltv.org/catalog.html?f%5Bcollection_s%5D%5B%5D=Ten+O%27Clock+News&f%5Byear_i%5D%5B%5D=1982&per_page=50&q=political+campaigns&range%5Byear_i%5D%5Bmissing%5D=true&range_end=1991&range_field=year_i&range_start=1960&search_field=all_fields&sort=year_i+asc%2C+date_created_dt+asc%2C+title_sort+asc&utf8=%E2%9C%93,Thomas O'Neill III withdraws from gubernatorial race,Boston TV News Digital Library,1982-05-06,high,Failed/abandoned bid for materially higher statewide office.,False,
3,9,V5DEV_112,Erich Honecker,STATUS,1971,positive,party_leadership_accession,"Succeeded Walter Ulbricht as First Secretary of the SED Central Committee, becoming the most powerful political leader in the GDR.",https://germanhistorydocs.org/en/two-germanies-1961-1989/ghdi%3Avideo-5011,The Honecker Era (1971–1989),German History in Documents and Images,,high,"Direct accession to the top party leadership position. Polarity records formal authority direction only, not moral approval.",False,
3,9,V5DEV_112,Erich Honecker,STATUS,1976,positive,head_of_state_accession,Became Chairman of the State Council of the GDR on 29 October 1976.,https://www.bundesstiftung-aufarbeitung.de/de/recherche/kataloge-datenbanken/biographische-datenbanken/erich-honecker,"Honecker, Erich",Bundesstiftung zur Aufarbeitung der SED-Diktatur,,high,"Direct accession to head-of-state authority. Polarity records formal authority direction only, not moral approval.",False,
3,9,V5DEV_112,Erich Honecker,STATUS,1989,negative,forced_leadership_exit,Resigned from all offices on 18 October 1989 after the SED leadership moved to remove him.,https://www.bundesstiftung-aufarbeitung.de/de/recherche/kataloge-datenbanken/biographische-datenbanken/erich-honecker,"Honecker, Erich",Bundesstiftung zur Aufarbeitung der SED-Diktatur,,high,Direct loss of the highest party and state authority.,False,
3,13,V5DEV_038,Guy Forget,COMPETITIVE,1986,negative,season_final_runner_up,Finished runner-up in the year-end ATP doubles championship with Yannick Noah.,https://www.atptour.com/players/guy-forget/f035/bio,Guy Forget | Bio,ATP Tour,,high,Direct defeat in an elite season-ending championship final.,False,
3,13,V5DEV_038,Guy Forget,COMPETITIVE,1990,positive,season_final_title_win,Won the year-end ATP doubles championship with Jakob Hlasek.,https://www.atptour.com/players/guy-forget/f035/bio,Guy Forget | Bio,ATP Tour,,high,Direct title win at the elite season-ending ATP doubles championship.,False,
3,13,V5DEV_038,Guy Forget,COMPETITIVE,1991,negative,grand_slam_quarterfinal_loss,Lost in the Australian Open singles quarterfinal to Boris Becker.,https://www.atptour.com/players/guy-forget/f035/bio,Guy Forget | Bio,ATP Tour,,high,Direct elimination in a Grand Slam quarterfinal.,False,
3,13,V5DEV_038,Guy Forget,COMPETITIVE,1991,negative,grand_slam_quarterfinal_loss,Lost in the Wimbledon singles quarterfinal to Boris Becker.,https://www.atptour.com/players/guy-forget/f035/bio,Guy Forget | Bio,ATP Tour,,high,Direct elimination in a Grand Slam quarterfinal.,False,
3,13,V5DEV_038,Guy Forget,COMPETITIVE,1991,positive,davis_cup_title_win,"Helped France win the Davis Cup, winning the doubles rubber and the decisive singles rubber against Pete Sampras in the final.",https://www.atptour.com/players/guy-forget/f035/bio,Guy Forget | Bio,ATP Tour,,high,Direct championship-clinching competitive outcome in the Davis Cup final.,False,
3,13,V5DEV_038,Guy Forget,COMPETITIVE,1996,positive,davis_cup_title_win,"Helped France win the Davis Cup, winning the doubles rubber with Guillaume Raoux in the final against Sweden.",https://www.atptour.com/players/guy-forget/f035/bio,Guy Forget | Bio,ATP Tour,,high,Direct championship contribution in the Davis Cup final.,False,
3,17,V5DEV_123,Philippe Starck,STATUS,1979,,company_founder_activity,"At the end of the 1970s Starck founded his first industrial design company, Starck Product, later renamed Ubik.",https://www.starck.com/about,Philippe Starck | About,Starck,,high,"Founder leadership is relevant, but the source gives only 'end of the 1970s' rather than an exact calendar year.",True,Year is not source-precise enough for the frozen annual event table; logged for audit only.
3,17,V5DEV_123,Philippe Starck,STATUS,1983,,institutional_recognition,"President François Mitterrand selected Starck's project to decorate the private residence at the Élysée Palace, giving him major institutional recognition.",https://www.starck.com/about,Philippe Starck | About,Starck,,high,"Major institutional recognition is documented, but it is not itself a formal authority/leadership accession.",True,Recognition/commission without formal organizational authority is not a core STATUS event.
3,17,V5DEV_123,Philippe Starck,STATUS,1993,positive,art_director_leadership,From 1993 to 1996 Starck served as art director of several brands within the Thomson group.,https://www.starck.com/about,Philippe Starck | About,Starck,,high,Direct formal creative-leadership role across several brands in a major corporate group.,False,
