pool,subject_id,name,axis,positive_event_id,positive_year,positive_description,negative_event_id,negative_year,negative_description,abs_year_gap,positive_earlier,source_gate,model_ready,source_pair_eligible,chronology_gate_passed,chronology_block_reason
NEW_DEV_2_CONSUMED,NEWDEV2_039,Tom Daschle,STATUS,NEWDEV2_039_E001,1995,Became U.S. Senate Democratic leader.,NEWDEV2_039_E002,2004,Lost his Senate reelection race to John Thune.,9,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
NEW_DEV_2_CONSUMED,NEWDEV2_041,Tom Foley,STATUS,NEWDEV2_041_E001,1989,Became Speaker of the U.S. House of Representatives.,NEWDEV2_041_E002,1994,"Lost his House reelection race, becoming the first sitting Speaker defeated since 1862.",5,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
NEW_DEV_2_CONSUMED,NEWDEV2_043,Tom Okker,COMPETITIVE,NEWDEV2_043_E001,1973,Won the French Open men's doubles title.,NEWDEV2_043_E002,1968,Lost the U.S. Open singles final in five sets to Arthur Ashe.,5,False,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
NEW_DEV_2_CONSUMED,NEWDEV2_053,Toni Kroos,COMPETITIVE,NEWDEV2_053_E001,2014,"Won the FIFA World Cup with Germany and joined Real Madrid, beginning a highly successful period.",NEWDEV2_053_E002,2012,Bayern Munich lost the UEFA Champions League final at home to Chelsea.,2,False,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
NEW_DEV_2_CONSUMED,NEWDEV2_056,Tony Estanguet,COMPETITIVE,NEWDEV2_056_E001,2000,Won Olympic gold in canoe slalom C1 at Sydney.,NEWDEV2_056_E002,2008,Failed to reach the C1 final at the Beijing Olympics.,8,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
NEW_DEV_2_CONSUMED,NEWDEV2_065,George Foreman,COMPETITIVE,NEWDEV2_065_E001,1973,Won the world heavyweight boxing championship by defeating Joe Frazier.,NEWDEV2_065_E002,1974,Lost the heavyweight title to Muhammad Ali in the Rumble in the Jungle.,1,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
NEW_DEV_2_CONSUMED,NEWDEV2_066,George Galloway,STATUS,NEWDEV2_066_E001,2005,Won the Bethnal Green and Bow parliamentary seat as a Respect Party candidate.,NEWDEV2_066_E002,2010,Lost his attempt to win the Poplar and Limehouse parliamentary seat.,5,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
NEW_DEV_2_CONSUMED,NEWDEV2_067,Gerald Ford,STATUS,NEWDEV2_067_E001,1974,Became President of the United States after Richard Nixon resigned.,NEWDEV2_067_E002,1976,Lost the presidential election to Jimmy Carter.,2,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
NEW_DEV_2_CONSUMED,NEWDEV2_068,Gerard Butler,PROJECT,NEWDEV2_068_E001,2007,300 became an international box-office success and made him a leading action star.,NEWDEV2_068_E002,2017,Geostorm was poorly reviewed and underperformed relative to its large production budget.,10,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
NEW_DEV_2_CONSUMED,NEWDEV2_070,Carol Burnett,PROJECT,NEWDEV2_070_E001,1967,The Carol Burnett Show premiered and became a major long-running television success.,NEWDEV2_070_E002,1991,Her network comeback series The Carol Burnett Show was canceled after a short run.,24,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
NEW_DEV_2_CONSUMED,NEWDEV2_074,Carmen Electra,PROJECT,NEWDEV2_074_E001,1997,Joined Baywatch and gained wide television recognition.,NEWDEV2_074_E002,2005,Dirty Love was critically panned and received multiple Golden Raspberry awards.,8,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
NEW_DEV_2_CONSUMED,NEWDEV2_075,Carmen Basilio,COMPETITIVE,NEWDEV2_075_E001,1957,Defeated Sugar Ray Robinson to win the world middleweight championship.,NEWDEV2_075_E002,1958,Lost the middleweight title back to Robinson in their rematch.,1,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
NEW_DEV_2_CONSUMED,NEWDEV2_077,Dennis Wilson,PROJECT,NEWDEV2_077_E001,1977,"Released Pacific Ocean Blue, a well-regarded solo album and landmark outside the Beach Boys.",NEWDEV2_077_E002,1980,Work on his planned follow-up Bambu stalled and remained unfinished amid financial and personal problems.,3,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
NEW_DEV_2_CONSUMED,NEWDEV2_078,Dennis Ralston,COMPETITIVE,NEWDEV2_078_E001,1963,Helped the United States win the Davis Cup.,NEWDEV2_078_E002,1966,Lost the Wimbledon men's singles final to Manuel Santana.,3,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
NEW_DEV_2_CONSUMED,NEWDEV2_081,Elizabeth Banks,PROJECT,NEWDEV2_081_E001,2012,The Hunger Games and Pitch Perfect franchises elevated her to major mainstream visibility.,NEWDEV2_081_E002,2019,Her Charlie's Angels directing project underperformed at the box office.,7,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
NEW_DEV_2_CONSUMED,NEWDEV2_082,Elizabeth Dole,STATUS,NEWDEV2_082_E001,2002,Won election to the U.S. Senate from North Carolina.,NEWDEV2_082_E002,2008,Lost her Senate reelection bid to Kay Hagan.,6,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
NEW_DEV_2_CONSUMED,NEWDEV2_089,Robert Byrd,STATUS,NEWDEV2_089_E001,1987,Became U.S. Senate Majority Leader.,NEWDEV2_089_E002,1988,Lost the Democratic leadership contest to George Mitchell for the following Congress.,1,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
NEW_DEV_2_CONSUMED,NEWDEV2_090,Tony Trabert,COMPETITIVE,NEWDEV2_090_E001,1955,"Won the French Championships, Wimbledon, and U.S. Championships in a dominant amateur season.",NEWDEV2_090_E002,1956,"After turning professional, he lost major head-to-head professional series to Pancho Gonzales.",1,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
NEW_DEV_2_CONSUMED,NEWDEV2_091,Michael Landon,PROJECT,NEWDEV2_091_E001,1974,"Little House on the Prairie premiered, launching another long-running hit series under his creative control.",NEWDEV2_091_E002,1989,"NBC ended Highway to Heaven after ratings fell, closing his final long-running series.",15,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
NEW_DEV_2_CONSUMED,NEWDEV2_093,Aaron Pryor,COMPETITIVE,NEWDEV2_093_E001,1982,Defeated Alexis Argüello by TKO in a celebrated junior-welterweight title defense.,NEWDEV2_093_E002,1987,"Suffered the first loss of his professional career, a TKO defeat to Bobby Joe Young during a troubled comeback.",5,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
V2_NEW_DEV,MLV2_DEV_003,Jennifer Aniston,PROJECT,MLV2_DEV_003_E0001,1994,Friends premiered and launched her international fame,MLV2_DEV_003_E0003,2010,The Bounty Hunter was widely panned by critics and became a conspicuous low point in her film run.,16,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
V2_NEW_DEV,MLV2_DEV_005,Julia Roberts,PROJECT,MLV2_DEV_005_E0001,1990,Pretty Woman became a global breakout hit,MLV2_DEV_005_E0002,1996,Mary Reilly was a major critical and box-office disappointment.,6,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
V2_NEW_DEV,MLV2_DEV_007,Julie Delpy,PROJECT,MLV2_DEV_007_E0001,1995,Before Sunrise established her international art-house profile,MLV2_DEV_007_E0003,2009,Her directorial film The Countess received mixed-to-negative reviews and limited commercial impact.,14,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
V2_NEW_DEV,MLV2_DEV_007,Julie Delpy,PROJECT,MLV2_DEV_007_E0002,2004,Before Sunset earned major acclaim and screenplay recognition,MLV2_DEV_007_E0003,2009,Her directorial film The Countess received mixed-to-negative reviews and limited commercial impact.,5,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
V2_NEW_DEV,MLV2_DEV_008,Jenna Elfman,PROJECT,MLV2_DEV_008_E0001,1997,Dharma & Greg became her breakout television role,MLV2_DEV_008_E0003,2002,"Dharma & Greg ended after five seasons, closing the series that had defined her breakout period.",5,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
V2_NEW_DEV,MLV2_DEV_020,Cindy Sherman,PROJECT,MLV2_DEV_020_E0001,1981,Untitled Film Stills established major art-world recognition,MLV2_DEV_020_E0003,1997,Her feature-film directorial debut Office Killer received mixed reviews and very limited commercial exposure.,16,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
V2_NEW_DEV,MLV2_DEV_022,Glenn Close,RECOGNITION,MLV2_DEV_022_E0001,1983,Received an early Academy Award nomination during breakthrough film work,MLV2_DEV_022_E0002,2020,Hillbilly Elegy drew strongly negative reviews and brought a Razzie nomination despite awards attention for her performance.,37,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
V2_NEW_DEV,MLV2_DEV_022,Glenn Close,RECOGNITION,MLV2_DEV_022_E0003,2021,Reached eight career Academy Award acting nominations,MLV2_DEV_022_E0002,2020,Hillbilly Elegy drew strongly negative reviews and brought a Razzie nomination despite awards attention for her performance.,1,False,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
V2_NEW_DEV,MLV2_DEV_027,Jamie Lee Curtis,PROJECT,MLV2_DEV_027_E0001,1978,Halloween became her breakthrough film,MLV2_DEV_027_E0002,1999,Virus was a major critical failure and later became a film she publicly described as a bad project.,21,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
V2_NEW_DEV,MLV2_DEV_033,Kevin Costner,PROJECT,MLV2_DEV_033_E0003,2018,Yellowstone launched a major late-career resurgence,MLV2_DEV_033_E0002,1995,Waterworld became associated with severe production difficulties and negative publicity,23,False,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
V2_NEW_DEV,MLV2_DEV_038,Leonardo DiCaprio,RECOGNITION,MLV2_DEV_038_E0003,2016,Won the Academy Award for The Revenant,MLV2_DEV_038_E0002,2000,The Beach drew mixed-to-negative reviews and brought a Razzie nomination during his post-Titanic period.,16,False,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
V2_NEW_DEV,MLV2_DEV_039,Leonardo Del Vecchio,STATUS,MLV2_DEV_039_E0001,1961,"Founded Luxottica, the company that became the foundation of his eyewear empire.",MLV2_DEV_039_E0003,2014,Luxottica underwent a highly public leadership and governance disruption with rapid chief-executive turnover.,53,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
V2_NEW_DEV,MLV2_DEV_041,Lisa Ling,PROJECT,MLV2_DEV_041_E0002,2014,This Is Life with Lisa Ling launched on CNN,MLV2_DEV_041_E0003,2022,"CNN ended This Is Life with Lisa Ling amid network programming changes, closing her long-running documentary series.",8,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
V2_NEW_DEV,MLV2_DEV_043,Mark Spitz,COMPETITIVE,MLV2_DEV_043_E0001,1968,Won multiple Olympic medals in Mexico City,MLV2_DEV_043_E0003,1992,His attempted Olympic comeback ended when he failed to qualify for the US Olympic team.,24,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
V2_NEW_DEV,MLV2_DEV_043,Mark Spitz,COMPETITIVE,MLV2_DEV_043_E0002,1972,Won seven Olympic gold medals in Munich,MLV2_DEV_043_E0003,1992,His attempted Olympic comeback ended when he failed to qualify for the US Olympic team.,20,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
V2_NEW_DEV,MLV2_DEV_050,Sigourney Weaver,PROJECT,MLV2_DEV_050_E0001,1979,Alien established her as a major film star,MLV2_DEV_050_E0003,1997,Alien Resurrection received mixed critical reaction and marked an uneven close to her original Ripley film run.,18,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
V2_NEW_DEV,MLV2_DEV_054,Uma Thurman,RECOGNITION,MLV2_DEV_054_E0001,1994,Pulp Fiction earned an Academy Award nomination,MLV2_DEV_054_E0002,1997,Batman & Robin was critically savaged and brought her a Razzie nomination.,3,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
V2_NEW_DEV,MLV2_DEV_057,Diane Keaton,PROJECT,MLV2_DEV_057_E0002,1996,The First Wives Club became a major commercial success,MLV2_DEV_057_E0003,2007,Because I Said So was heavily criticized by reviewers despite commercial visibility.,11,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
V2_NEW_DEV,MLV2_DEV_058,George Takei,PROJECT,MLV2_DEV_058_E0001,1966,"Star Trek premiered with Takei as Hikaru Sulu, establishing his defining role.",MLV2_DEV_058_E0002,1969,"Star Trek was cancelled after three seasons, ending his regular network-series role.",3,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
