pair_id,subject_id,positive_earlier_calc,preassigned_axis,collection_wave,repeat,fold,model,score_kind,correct
PRIMARY_TRUSTED_0095,V5DEV_011,1,COMPETITIVE,ORIGINAL,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0109,V5DEV_023,1,COMPETITIVE,ORIGINAL,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0110,V5DEV_023,1,COMPETITIVE,ORIGINAL,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0111,V5DEV_023,1,COMPETITIVE,ORIGINAL,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0112,V5DEV_023,0,COMPETITIVE,ORIGINAL,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0113,V5DEV_023,0,COMPETITIVE,ORIGINAL,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0114,V5DEV_023,0,COMPETITIVE,ORIGINAL,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0115,V5DEV_023,1,COMPETITIVE,ORIGINAL,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0116,V5DEV_023,1,COMPETITIVE,ORIGINAL,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0117,V5DEV_024,1,COMPETITIVE,ORIGINAL,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0128,V5DEV_029,1,COMPETITIVE,ORIGINAL,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0129,V5DEV_029,1,COMPETITIVE,ORIGINAL,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0160,V5DEV_051,0,PROJECT,ORIGINAL,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0162,V5DEV_075,1,PROJECT,ORIGINAL,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0168,V5DEV_090,0,PROJECT,ORIGINAL,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0173,V5DEV_109,1,STATUS,ORIGINAL,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0174,V5DEV_109,0,STATUS,ORIGINAL,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0177,V5DEV_117,1,STATUS,ORIGINAL,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0178,V5DEV_117,1,STATUS,ORIGINAL,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0179,V5DEV_117,0,STATUS,ORIGINAL,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0180,V5DEV_118,0,STATUS,ORIGINAL,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0191,V5DEV_156,1,STATUS,ORIGINAL,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0016,V5DEVX_036,1,STATUS,E1,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0021,V5DEVX_049,1,COMPETITIVE,E1,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0022,V5DEVX_049,1,COMPETITIVE,E1,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0023,V5DEVX_049,1,COMPETITIVE,E1,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0024,V5DEVX_049,0,COMPETITIVE,E1,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0027,V5DEVX_055,0,COMPETITIVE,E1,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0028,V5DEVX_055,0,COMPETITIVE,E1,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0039,V5DEVX_128,1,STATUS,E1,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0049,V5DEVX_148,0,COMPETITIVE,E1,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0050,V5DEVX_148,0,COMPETITIVE,E1,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0051,V5DEVX_148,1,COMPETITIVE,E1,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0058,V5DEVE2_001,1,COMPETITIVE,E2,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0059,V5DEVE2_001,0,COMPETITIVE,E2,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0060,V5DEVE2_003,1,STATUS,E2,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0075,V5DEVE2_106,1,COMPETITIVE,E2,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0076,V5DEVE2_115,1,COMPETITIVE,E2,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0094,V5DEV_011,1,COMPETITIVE,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0095,V5DEV_011,1,COMPETITIVE,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0109,V5DEV_023,1,COMPETITIVE,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0110,V5DEV_023,1,COMPETITIVE,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0111,V5DEV_023,1,COMPETITIVE,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0112,V5DEV_023,0,COMPETITIVE,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0113,V5DEV_023,0,COMPETITIVE,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0114,V5DEV_023,0,COMPETITIVE,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0115,V5DEV_023,1,COMPETITIVE,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0116,V5DEV_023,1,COMPETITIVE,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0117,V5DEV_024,1,COMPETITIVE,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0128,V5DEV_029,1,COMPETITIVE,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0129,V5DEV_029,1,COMPETITIVE,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0160,V5DEV_051,0,PROJECT,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0162,V5DEV_075,1,PROJECT,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0168,V5DEV_090,0,PROJECT,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0173,V5DEV_109,1,STATUS,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0174,V5DEV_109,0,STATUS,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0177,V5DEV_117,1,STATUS,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0178,V5DEV_117,1,STATUS,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0179,V5DEV_117,0,STATUS,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0180,V5DEV_118,0,STATUS,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0191,V5DEV_156,1,STATUS,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0016,V5DEVX_036,1,STATUS,E1,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,1.0
PRIMARY_TRUSTED_0021,V5DEVX_049,1,COMPETITIVE,E1,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,0.0
PRIMARY_TRUSTED_0022,V5DEVX_049,1,COMPETITIVE,E1,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,0.0
PRIMARY_TRUSTED_0023,V5DEVX_049,1,COMPETITIVE,E1,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,1.0
PRIMARY_TRUSTED_0024,V5DEVX_049,0,COMPETITIVE,E1,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,1.0
PRIMARY_TRUSTED_0027,V5DEVX_055,0,COMPETITIVE,E1,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,0.0
PRIMARY_TRUSTED_0028,V5DEVX_055,0,COMPETITIVE,E1,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,0.0
PRIMARY_TRUSTED_0039,V5DEVX_128,1,STATUS,E1,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,1.0
PRIMARY_TRUSTED_0049,V5DEVX_148,0,COMPETITIVE,E1,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,1.0
PRIMARY_TRUSTED_0050,V5DEVX_148,0,COMPETITIVE,E1,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,1.0
PRIMARY_TRUSTED_0051,V5DEVX_148,1,COMPETITIVE,E1,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,1.0
PRIMARY_TRUSTED_0058,V5DEVE2_001,1,COMPETITIVE,E2,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,0.0
PRIMARY_TRUSTED_0059,V5DEVE2_001,0,COMPETITIVE,E2,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,1.0
PRIMARY_TRUSTED_0060,V5DEVE2_003,1,STATUS,E2,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,1.0
PRIMARY_TRUSTED_0075,V5DEVE2_106,1,COMPETITIVE,E2,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,0.0
PRIMARY_TRUSTED_0076,V5DEVE2_115,1,COMPETITIVE,E2,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,1.0
PRIMARY_TRUSTED_0094,V5DEV_011,1,COMPETITIVE,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,1.0
PRIMARY_TRUSTED_0095,V5DEV_011,1,COMPETITIVE,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,1.0
PRIMARY_TRUSTED_0109,V5DEV_023,1,COMPETITIVE,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,1.0
PRIMARY_TRUSTED_0110,V5DEV_023,1,COMPETITIVE,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,1.0
PRIMARY_TRUSTED_0111,V5DEV_023,1,COMPETITIVE,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,1.0
PRIMARY_TRUSTED_0112,V5DEV_023,0,COMPETITIVE,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,1.0
PRIMARY_TRUSTED_0113,V5DEV_023,0,COMPETITIVE,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,1.0
PRIMARY_TRUSTED_0114,V5DEV_023,0,COMPETITIVE,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,1.0
PRIMARY_TRUSTED_0115,V5DEV_023,1,COMPETITIVE,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,1.0
PRIMARY_TRUSTED_0116,V5DEV_023,1,COMPETITIVE,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,1.0
PRIMARY_TRUSTED_0117,V5DEV_024,1,COMPETITIVE,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,1.0
PRIMARY_TRUSTED_0128,V5DEV_029,1,COMPETITIVE,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,1.0
PRIMARY_TRUSTED_0129,V5DEV_029,1,COMPETITIVE,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,0.0
PRIMARY_TRUSTED_0160,V5DEV_051,0,PROJECT,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,0.0
PRIMARY_TRUSTED_0162,V5DEV_075,1,PROJECT,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,0.0
PRIMARY_TRUSTED_0168,V5DEV_090,0,PROJECT,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,1.0
PRIMARY_TRUSTED_0173,V5DEV_109,1,STATUS,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,0.0
PRIMARY_TRUSTED_0174,V5DEV_109,0,STATUS,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,0.0
PRIMARY_TRUSTED_0177,V5DEV_117,1,STATUS,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,1.0
PRIMARY_TRUSTED_0178,V5DEV_117,1,STATUS,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,0.0
PRIMARY_TRUSTED_0179,V5DEV_117,0,STATUS,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,0.0
PRIMARY_TRUSTED_0180,V5DEV_118,0,STATUS,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,0.0
PRIMARY_TRUSTED_0191,V5DEV_156,1,STATUS,ORIGINAL,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,TASK_CONDITIONED_DIAGNOSTIC,1.0
PRIMARY_TRUSTED_0004,V5DEVX_007,0,COMPETITIVE,E1,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0005,V5DEVX_008,1,PROJECT,E1,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0006,V5DEVX_008,0,PROJECT,E1,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0007,V5DEVX_010,0,COMPETITIVE,E1,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0008,V5DEVX_010,1,COMPETITIVE,E1,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0009,V5DEVX_010,0,COMPETITIVE,E1,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0010,V5DEVX_010,1,COMPETITIVE,E1,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0033,V5DEVX_103,0,COMPETITIVE,E1,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0034,V5DEVX_106,1,COMPETITIVE,E1,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0036,V5DEVX_115,1,COMPETITIVE,E1,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0037,V5DEVX_115,1,COMPETITIVE,E1,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0061,V5DEVE2_007,1,COMPETITIVE,E2,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0062,V5DEVE2_007,1,COMPETITIVE,E2,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0069,V5DEVE2_027,1,STATUS,E2,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0070,V5DEVE2_028,1,COMPETITIVE,E2,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0080,V5DEVE2_160,1,STATUS,E2,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0090,V5DEV_008,0,COMPETITIVE,ORIGINAL,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0091,V5DEV_008,0,COMPETITIVE,ORIGINAL,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0093,V5DEV_010,0,COMPETITIVE,ORIGINAL,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0130,V5DEV_030,0,COMPETITIVE,ORIGINAL,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0131,V5DEV_030,0,COMPETITIVE,ORIGINAL,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0132,V5DEV_030,0,COMPETITIVE,ORIGINAL,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0133,V5DEV_030,1,COMPETITIVE,ORIGINAL,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0134,V5DEV_030,1,COMPETITIVE,ORIGINAL,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0135,V5DEV_030,1,COMPETITIVE,ORIGINAL,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0136,V5DEV_030,1,COMPETITIVE,ORIGINAL,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0140,V5DEV_035,0,COMPETITIVE,ORIGINAL,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0141,V5DEV_035,0,COMPETITIVE,ORIGINAL,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0156,V5DEV_039,1,COMPETITIVE,ORIGINAL,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0157,V5DEV_039,1,COMPETITIVE,ORIGINAL,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0158,V5DEV_039,1,COMPETITIVE,ORIGINAL,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0170,V5DEV_108,1,STATUS,ORIGINAL,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0171,V5DEV_108,0,STATUS,ORIGINAL,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0172,V5DEV_108,0,STATUS,ORIGINAL,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0181,V5DEV_121,1,STATUS,ORIGINAL,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0183,V5DEV_126,1,STATUS,ORIGINAL,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0184,V5DEV_126,1,STATUS,ORIGINAL,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0190,V5DEV_155,1,STATUS,ORIGINAL,0,1,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0004,V5DEVX_007,0,COMPETITIVE,E1,0,1,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0005,V5DEVX_008,1,PROJECT,E1,0,1,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0006,V5DEVX_008,0,PROJECT,E1,0,1,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0007,V5DEVX_010,0,COMPETITIVE,E1,0,1,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0008,V5DEVX_010,1,COMPETITIVE,E1,0,1,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0009,V5DEVX_010,0,COMPETITIVE,E1,0,1,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0010,V5DEVX_010,1,COMPETITIVE,E1,0,1,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0033,V5DEVX_103,0,COMPETITIVE,E1,0,1,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0034,V5DEVX_106,1,COMPETITIVE,E1,0,1,TG10_MULTITASK_EFFECT_RIDGE_BALANCED,GENERAL,1.0
