repeat,fold,model,n_subjects,macro_pairwise,hit_rate,median_sep,chosen_C,chosen_l1_ratio,n_selected_features
1,2,ALL_L2,19,0.6459899749373433,0.7894736842105263,2.7927720409881314,,,302
1,2,ELASTICNET_AUTO,19,0.637218045112782,0.6842105263157895,0.24063136598406315,0.03,1.0,19
1,2,STABILITY_SELECTED,19,0.5156641604010025,0.3684210526315789,0.0,0.03,1.0,3
1,2,HGB_CONTEXTUAL,19,0.5802005012531328,0.5789473684210527,0.024496360144886653,,,302
1,3,TENGOD_FIXED,18,0.5092592592592592,0.5,-0.0077234969203489046,,,10
1,3,ALL_L2,18,0.5083333333333333,0.5555555555555556,0.9205602574188063,,,302
1,3,ELASTICNET_AUTO,18,0.4703703703703704,0.4444444444444444,-0.11792169141435771,0.3,0.75,90
1,3,STABILITY_SELECTED,18,0.48888888888888893,0.6111111111111112,0.09614596507489614,0.3,0.75,40
1,3,HGB_CONTEXTUAL,18,0.4138888888888889,0.3888888888888889,-0.06553847791003725,,,302
1,4,TENGOD_FIXED,18,0.5023148148148148,0.5555555555555556,0.07723115481043705,,,10
1,4,ALL_L2,18,0.4555555555555555,0.5,0.1823814646237989,,,302
1,4,ELASTICNET_AUTO,18,0.509567901234568,0.5,-0.01694712290420944,0.03,0.25,67
1,4,STABILITY_SELECTED,18,0.44783950617283946,0.5,0.25260609621936186,0.03,0.25,37
1,4,HGB_CONTEXTUAL,18,0.4737654320987655,0.4444444444444444,-0.007687492775904414,,,302
2,0,TENGOD_FIXED,19,0.6008771929824561,0.631578947368421,0.33591585725641027,,,10
2,0,ALL_L2,19,0.5087719298245613,0.5789473684210527,1.0623534581782081,,,302
2,0,ELASTICNET_AUTO,19,0.5219298245614035,0.47368421052631576,-0.0014709694411210172,0.03,0.25,75
2,0,STABILITY_SELECTED,19,0.5131578947368421,0.5263157894736842,0.2623715111861813,0.03,0.25,40
2,0,HGB_CONTEXTUAL,19,0.5947368421052632,0.5789473684210527,0.008609965904738726,,,302
2,1,TENGOD_FIXED,19,0.7708020050125314,0.7368421052631579,0.4340120473028684,,,10
2,1,ALL_L2,19,0.5595238095238095,0.5789473684210527,0.7236644449306735,,,302
2,1,ELASTICNET_AUTO,19,0.5726817042606517,0.631578947368421,0.9537682679185042,1.0,0.5,118
2,1,STABILITY_SELECTED,19,0.5454887218045112,0.47368421052631576,-0.3886709391534986,1.0,0.5,40
2,1,HGB_CONTEXTUAL,19,0.5473684210526316,0.42105263157894735,-0.03098930472213174,,,302
2,2,TENGOD_FIXED,19,0.6271929824561403,0.5789473684210527,0.13477581496419222,,,10
2,2,ALL_L2,19,0.5614035087719298,0.631578947368421,3.4666485359286767,,,302
2,2,ELASTICNET_AUTO,19,0.587719298245614,0.631578947368421,3.3014425743162876,1.0,0.5,121
2,2,STABILITY_SELECTED,19,0.5438596491228069,0.5789473684210527,0.9082999070940048,1.0,0.5,40
2,2,HGB_CONTEXTUAL,19,0.6345029239766081,0.631578947368421,0.026902405476143976,,,302
2,3,TENGOD_FIXED,18,0.40555555555555556,0.3888888888888889,-0.17550242261654672,,,10
2,3,ALL_L2,18,0.5472222222222222,0.6111111111111112,0.8070900367886802,,,302
2,3,ELASTICNET_AUTO,18,0.47500000000000003,0.5,-0.039287841782912364,0.03,1.0,18
2,3,STABILITY_SELECTED,18,0.5351851851851852,0.5,0.16517526795136453,0.03,1.0,5
2,3,HGB_CONTEXTUAL,18,0.42962962962962964,0.4444444444444444,-0.017999195679337443,,,302
2,4,TENGOD_FIXED,18,0.5100308641975309,0.5,0.018883164025322724,,,10
2,4,ALL_L2,18,0.5493827160493827,0.5555555555555556,0.419959604156362,,,302
2,4,ELASTICNET_AUTO,18,0.5555555555555556,0.5555555555555556,0.06397759190113525,0.03,0.5,35
2,4,STABILITY_SELECTED,18,0.595679012345679,0.5,-0.15404817834086876,0.03,0.5,22
2,4,HGB_CONTEXTUAL,18,0.6188271604938271,0.6111111111111112,0.03191812079655415,,,302
