model,mechanism_signature,n_pairs,n_subjects,subject_macro_pairwise,interpretation_allowed
AGE_LATER_FIXED,STATUS::ELECTION_WIN__VS__ELECTION_LOSS,2,2,0.0,False
AGE_LATER_FIXED,STATUS::appointment_gain__VS__election_campaign_loss,1,1,1.0,False
AGE_LATER_FIXED,STATUS::appointment_gain__VS__election_loss,1,1,1.0,False
AGE_LATER_FIXED,STATUS::appointment_gain__VS__leadership_loss,1,1,1.0,False
AGE_LATER_FIXED,STATUS::election_win__VS__election_loss,2,1,1.0,False
AGE_LATER_FIXED,STATUS::role_gain__VS__role_loss,1,1,1.0,False
AGE_YOUNGER_FIXED,COMPETITIVE::COMPETITION_OR_PERFORMANCE__VS__COMPETITION_OR_PERFORMANCE,2,1,1.0,False
AGE_YOUNGER_FIXED,COMPETITIVE::TITLE_WIN__VS__MAJOR_LOSS,16,16,0.6875,True
AGE_YOUNGER_FIXED,COMPETITIVE::explicit_outcome__VS__explicit_outcome,25,13,0.0,True
AGE_YOUNGER_FIXED,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CANCELLATION,2,2,1.0,False
AGE_YOUNGER_FIXED,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CAREER_STALL,1,1,1.0,False
AGE_YOUNGER_FIXED,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__COMMERCIAL_FAILURE,2,2,1.0,False
AGE_YOUNGER_FIXED,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__COMMERCIAL_SETBACK,1,1,1.0,False
AGE_YOUNGER_FIXED,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CREATIVE_OR_MEDIA_PROJECT,12,11,0.9090909090909091,True
AGE_YOUNGER_FIXED,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CRITICAL_FAILURE,2,2,1.0,False
AGE_YOUNGER_FIXED,PROJECT::commercial_success__VS__commercial_failure,5,5,0.0,True
AGE_YOUNGER_FIXED,PROJECT::commercial_success__VS__commercial_underperformance,2,2,0.0,False
AGE_YOUNGER_FIXED,PROJECT::commercial_success__VS__financial_failure,1,1,0.0,False
AGE_YOUNGER_FIXED,PROJECT::commercial_success__VS__low_commercial_reach,1,1,0.0,False
AGE_YOUNGER_FIXED,PROJECT::commercial_success__VS__overall_project_failure,3,3,0.0,False
AGE_YOUNGER_FIXED,PROJECT::major_project_success__VS__low_initial_reception,1,1,0.0,False
AGE_YOUNGER_FIXED,PROJECT::overall_project_success__VS__overall_project_failure,1,1,0.0,False
AGE_YOUNGER_FIXED,PROJECT::project_revived__VS__project_cancellation,1,1,0.0,False
AGE_YOUNGER_FIXED,PROJECT::project_success__VS__commercial_failure,2,2,0.0,False
AGE_YOUNGER_FIXED,PROJECT::project_success__VS__project_cancellation,3,3,0.0,False
AGE_YOUNGER_FIXED,RECOGNITION::FORMAL_RECOGNITION__VS__FORMAL_RECOGNITION,4,3,0.5,False
AGE_YOUNGER_FIXED,STATUS::APPOINTMENT_GAIN__VS__ELECTION_LOSS,3,3,1.0,False
AGE_YOUNGER_FIXED,STATUS::APPOINTMENT_GAIN__VS__ROLE_LOSS,1,1,1.0,False
AGE_YOUNGER_FIXED,STATUS::BUSINESS_LEADERSHIP_STATUS__VS__BUSINESS_LEADERSHIP_STATUS,1,1,1.0,False
AGE_YOUNGER_FIXED,STATUS::ELECTION_WIN__VS__ELECTION_LOSS,2,2,1.0,False
AGE_YOUNGER_FIXED,STATUS::appointment_gain__VS__election_campaign_loss,1,1,0.0,False
AGE_YOUNGER_FIXED,STATUS::appointment_gain__VS__election_loss,1,1,0.0,False
AGE_YOUNGER_FIXED,STATUS::appointment_gain__VS__leadership_loss,1,1,0.0,False
AGE_YOUNGER_FIXED,STATUS::election_win__VS__election_loss,2,1,0.0,False
AGE_YOUNGER_FIXED,STATUS::role_gain__VS__role_loss,1,1,0.0,False
ALL_ELASTICNET_AUTO,COMPETITIVE::COMPETITION_OR_PERFORMANCE__VS__COMPETITION_OR_PERFORMANCE,2,1,0.4,False
ALL_ELASTICNET_AUTO,COMPETITIVE::TITLE_WIN__VS__MAJOR_LOSS,16,16,0.5375000000000001,True
ALL_ELASTICNET_AUTO,COMPETITIVE::explicit_outcome__VS__explicit_outcome,25,13,0.5794871794871794,True
ALL_ELASTICNET_AUTO,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CANCELLATION,2,2,0.4,False
ALL_ELASTICNET_AUTO,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CAREER_STALL,1,1,0.4,False
ALL_ELASTICNET_AUTO,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__COMMERCIAL_FAILURE,2,2,0.4,False
ALL_ELASTICNET_AUTO,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__COMMERCIAL_SETBACK,1,1,0.8,False
ALL_ELASTICNET_AUTO,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CREATIVE_OR_MEDIA_PROJECT,12,11,0.47272727272727283,True
ALL_ELASTICNET_AUTO,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CRITICAL_FAILURE,2,2,0.7,False
ALL_ELASTICNET_AUTO,PROJECT::commercial_success__VS__commercial_failure,5,5,0.56,True
ALL_ELASTICNET_AUTO,PROJECT::commercial_success__VS__commercial_underperformance,2,2,0.6,False
ALL_ELASTICNET_AUTO,PROJECT::commercial_success__VS__financial_failure,1,1,0.4,False
ALL_ELASTICNET_AUTO,PROJECT::commercial_success__VS__low_commercial_reach,1,1,0.8,False
ALL_ELASTICNET_AUTO,PROJECT::commercial_success__VS__overall_project_failure,3,3,0.3333333333333333,False
ALL_ELASTICNET_AUTO,PROJECT::major_project_success__VS__low_initial_reception,1,1,0.4,False
ALL_ELASTICNET_AUTO,PROJECT::overall_project_success__VS__overall_project_failure,1,1,0.0,False
ALL_ELASTICNET_AUTO,PROJECT::project_revived__VS__project_cancellation,1,1,0.2,False
ALL_ELASTICNET_AUTO,PROJECT::project_success__VS__commercial_failure,2,2,0.30000000000000004,False
ALL_ELASTICNET_AUTO,PROJECT::project_success__VS__project_cancellation,3,3,0.6,False
ALL_ELASTICNET_AUTO,RECOGNITION::FORMAL_RECOGNITION__VS__FORMAL_RECOGNITION,4,3,0.4666666666666666,False
ALL_ELASTICNET_AUTO,STATUS::APPOINTMENT_GAIN__VS__ELECTION_LOSS,3,3,0.26666666666666666,False
ALL_ELASTICNET_AUTO,STATUS::APPOINTMENT_GAIN__VS__ROLE_LOSS,1,1,0.4,False
ALL_ELASTICNET_AUTO,STATUS::BUSINESS_LEADERSHIP_STATUS__VS__BUSINESS_LEADERSHIP_STATUS,1,1,0.8,False
ALL_ELASTICNET_AUTO,STATUS::ELECTION_WIN__VS__ELECTION_LOSS,2,2,0.8,False
ALL_ELASTICNET_AUTO,STATUS::appointment_gain__VS__election_campaign_loss,1,1,0.2,False
ALL_ELASTICNET_AUTO,STATUS::appointment_gain__VS__election_loss,1,1,0.4,False
ALL_ELASTICNET_AUTO,STATUS::appointment_gain__VS__leadership_loss,1,1,0.2,False
ALL_ELASTICNET_AUTO,STATUS::election_win__VS__election_loss,2,1,0.7,False
ALL_ELASTICNET_AUTO,STATUS::role_gain__VS__role_loss,1,1,0.6,False
ALL_L2,COMPETITIVE::COMPETITION_OR_PERFORMANCE__VS__COMPETITION_OR_PERFORMANCE,2,1,0.0,False
ALL_L2,COMPETITIVE::TITLE_WIN__VS__MAJOR_LOSS,16,16,0.625,True
ALL_L2,COMPETITIVE::explicit_outcome__VS__explicit_outcome,25,13,0.4148717948717949,True
ALL_L2,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CANCELLATION,2,2,0.0,False
ALL_L2,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CAREER_STALL,1,1,0.6,False
ALL_L2,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__COMMERCIAL_FAILURE,2,2,0.0,False
ALL_L2,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__COMMERCIAL_SETBACK,1,1,1.0,False
ALL_L2,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CREATIVE_OR_MEDIA_PROJECT,12,11,0.36363636363636365,True
ALL_L2,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CRITICAL_FAILURE,2,2,0.5,False
ALL_L2,PROJECT::commercial_success__VS__commercial_failure,5,5,0.8800000000000001,True
ALL_L2,PROJECT::commercial_success__VS__commercial_underperformance,2,2,0.6000000000000001,False
ALL_L2,PROJECT::commercial_success__VS__financial_failure,1,1,0.8,False
ALL_L2,PROJECT::commercial_success__VS__low_commercial_reach,1,1,1.0,False
ALL_L2,PROJECT::commercial_success__VS__overall_project_failure,3,3,0.3333333333333333,False
ALL_L2,PROJECT::major_project_success__VS__low_initial_reception,1,1,0.0,False
ALL_L2,PROJECT::overall_project_success__VS__overall_project_failure,1,1,0.2,False
ALL_L2,PROJECT::project_revived__VS__project_cancellation,1,1,0.0,False
ALL_L2,PROJECT::project_success__VS__commercial_failure,2,2,0.1,False
ALL_L2,PROJECT::project_success__VS__project_cancellation,3,3,0.5333333333333333,False
ALL_L2,RECOGNITION::FORMAL_RECOGNITION__VS__FORMAL_RECOGNITION,4,3,0.26666666666666666,False
ALL_L2,STATUS::APPOINTMENT_GAIN__VS__ELECTION_LOSS,3,3,0.3333333333333333,False
ALL_L2,STATUS::APPOINTMENT_GAIN__VS__ROLE_LOSS,1,1,0.8,False
ALL_L2,STATUS::BUSINESS_LEADERSHIP_STATUS__VS__BUSINESS_LEADERSHIP_STATUS,1,1,1.0,False
ALL_L2,STATUS::ELECTION_WIN__VS__ELECTION_LOSS,2,2,0.9,False
ALL_L2,STATUS::appointment_gain__VS__election_campaign_loss,1,1,0.0,False
ALL_L2,STATUS::appointment_gain__VS__election_loss,1,1,0.2,False
ALL_L2,STATUS::appointment_gain__VS__leadership_loss,1,1,0.6,False
ALL_L2,STATUS::election_win__VS__election_loss,2,1,0.7,False
ALL_L2,STATUS::role_gain__VS__role_loss,1,1,0.0,False
CONTROL_FIXED,COMPETITIVE::COMPETITION_OR_PERFORMANCE__VS__COMPETITION_OR_PERFORMANCE,2,1,1.0,False
CONTROL_FIXED,COMPETITIVE::TITLE_WIN__VS__MAJOR_LOSS,16,16,0.40625,True
CONTROL_FIXED,COMPETITIVE::explicit_outcome__VS__explicit_outcome,25,13,0.27435897435897433,True
CONTROL_FIXED,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CANCELLATION,2,2,1.0,False
CONTROL_FIXED,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CAREER_STALL,1,1,1.0,False
CONTROL_FIXED,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__COMMERCIAL_FAILURE,2,2,0.0,False
CONTROL_FIXED,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__COMMERCIAL_SETBACK,1,1,1.0,False
CONTROL_FIXED,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CREATIVE_OR_MEDIA_PROJECT,12,11,0.45454545454545453,True
CONTROL_FIXED,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CRITICAL_FAILURE,2,2,0.5,False
CONTROL_FIXED,PROJECT::commercial_success__VS__commercial_failure,5,5,0.4,True
CONTROL_FIXED,PROJECT::commercial_success__VS__commercial_underperformance,2,2,0.5,False
CONTROL_FIXED,PROJECT::commercial_success__VS__financial_failure,1,1,1.0,False
CONTROL_FIXED,PROJECT::commercial_success__VS__low_commercial_reach,1,1,1.0,False
CONTROL_FIXED,PROJECT::commercial_success__VS__overall_project_failure,3,3,0.3333333333333333,False
CONTROL_FIXED,PROJECT::major_project_success__VS__low_initial_reception,1,1,0.5,False
CONTROL_FIXED,PROJECT::overall_project_success__VS__overall_project_failure,1,1,0.0,False
CONTROL_FIXED,PROJECT::project_revived__VS__project_cancellation,1,1,0.0,False
CONTROL_FIXED,PROJECT::project_success__VS__commercial_failure,2,2,0.25,False
CONTROL_FIXED,PROJECT::project_success__VS__project_cancellation,3,3,0.6666666666666666,False
CONTROL_FIXED,RECOGNITION::FORMAL_RECOGNITION__VS__FORMAL_RECOGNITION,4,3,0.5,False
CONTROL_FIXED,STATUS::APPOINTMENT_GAIN__VS__ELECTION_LOSS,3,3,1.0,False
CONTROL_FIXED,STATUS::APPOINTMENT_GAIN__VS__ROLE_LOSS,1,1,1.0,False
CONTROL_FIXED,STATUS::BUSINESS_LEADERSHIP_STATUS__VS__BUSINESS_LEADERSHIP_STATUS,1,1,0.0,False
CONTROL_FIXED,STATUS::ELECTION_WIN__VS__ELECTION_LOSS,2,2,0.5,False
CONTROL_FIXED,STATUS::appointment_gain__VS__election_campaign_loss,1,1,1.0,False
CONTROL_FIXED,STATUS::appointment_gain__VS__election_loss,1,1,0.0,False
CONTROL_FIXED,STATUS::appointment_gain__VS__leadership_loss,1,1,1.0,False
CONTROL_FIXED,STATUS::election_win__VS__election_loss,2,1,0.0,False
CONTROL_FIXED,STATUS::role_gain__VS__role_loss,1,1,1.0,False
HGB_ALL_EXPLORATORY,COMPETITIVE::COMPETITION_OR_PERFORMANCE__VS__COMPETITION_OR_PERFORMANCE,2,1,0.0,False
HGB_ALL_EXPLORATORY,COMPETITIVE::TITLE_WIN__VS__MAJOR_LOSS,16,16,0.48750000000000004,True
HGB_ALL_EXPLORATORY,COMPETITIVE::explicit_outcome__VS__explicit_outcome,25,13,0.4697435897435897,True
HGB_ALL_EXPLORATORY,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CANCELLATION,2,2,0.30000000000000004,False
HGB_ALL_EXPLORATORY,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CAREER_STALL,1,1,0.8,False
HGB_ALL_EXPLORATORY,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__COMMERCIAL_FAILURE,2,2,0.0,False
HGB_ALL_EXPLORATORY,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__COMMERCIAL_SETBACK,1,1,0.8,False
HGB_ALL_EXPLORATORY,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CREATIVE_OR_MEDIA_PROJECT,12,11,0.43636363636363645,True
HGB_ALL_EXPLORATORY,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CRITICAL_FAILURE,2,2,0.30000000000000004,False
HGB_ALL_EXPLORATORY,PROJECT::commercial_success__VS__commercial_failure,5,5,0.64,True
HGB_ALL_EXPLORATORY,PROJECT::commercial_success__VS__commercial_underperformance,2,2,0.30000000000000004,False
HGB_ALL_EXPLORATORY,PROJECT::commercial_success__VS__financial_failure,1,1,0.2,False
HGB_ALL_EXPLORATORY,PROJECT::commercial_success__VS__low_commercial_reach,1,1,1.0,False
HGB_ALL_EXPLORATORY,PROJECT::commercial_success__VS__overall_project_failure,3,3,0.39999999999999997,False
HGB_ALL_EXPLORATORY,PROJECT::major_project_success__VS__low_initial_reception,1,1,0.0,False
HGB_ALL_EXPLORATORY,PROJECT::overall_project_success__VS__overall_project_failure,1,1,0.0,False
HGB_ALL_EXPLORATORY,PROJECT::project_revived__VS__project_cancellation,1,1,0.2,False
HGB_ALL_EXPLORATORY,PROJECT::project_success__VS__commercial_failure,2,2,0.0,False
HGB_ALL_EXPLORATORY,PROJECT::project_success__VS__project_cancellation,3,3,0.5333333333333333,False
HGB_ALL_EXPLORATORY,RECOGNITION::FORMAL_RECOGNITION__VS__FORMAL_RECOGNITION,4,3,0.3666666666666667,False
HGB_ALL_EXPLORATORY,STATUS::APPOINTMENT_GAIN__VS__ELECTION_LOSS,3,3,0.26666666666666666,False
HGB_ALL_EXPLORATORY,STATUS::APPOINTMENT_GAIN__VS__ROLE_LOSS,1,1,0.4,False
HGB_ALL_EXPLORATORY,STATUS::BUSINESS_LEADERSHIP_STATUS__VS__BUSINESS_LEADERSHIP_STATUS,1,1,0.8,False
HGB_ALL_EXPLORATORY,STATUS::ELECTION_WIN__VS__ELECTION_LOSS,2,2,0.8,False
HGB_ALL_EXPLORATORY,STATUS::appointment_gain__VS__election_campaign_loss,1,1,0.4,False
HGB_ALL_EXPLORATORY,STATUS::appointment_gain__VS__election_loss,1,1,0.8,False
HGB_ALL_EXPLORATORY,STATUS::appointment_gain__VS__leadership_loss,1,1,0.2,False
HGB_ALL_EXPLORATORY,STATUS::election_win__VS__election_loss,2,1,0.3,False
HGB_ALL_EXPLORATORY,STATUS::role_gain__VS__role_loss,1,1,0.2,False
NUISANCE_AGE_AXIS,COMPETITIVE::COMPETITION_OR_PERFORMANCE__VS__COMPETITION_OR_PERFORMANCE,2,1,0.2,False
NUISANCE_AGE_AXIS,COMPETITIVE::TITLE_WIN__VS__MAJOR_LOSS,16,16,0.42499999999999993,True
NUISANCE_AGE_AXIS,COMPETITIVE::explicit_outcome__VS__explicit_outcome,25,13,0.4435897435897437,True
NUISANCE_AGE_AXIS,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CANCELLATION,2,2,1.0,False
NUISANCE_AGE_AXIS,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CAREER_STALL,1,1,0.8,False
NUISANCE_AGE_AXIS,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__COMMERCIAL_FAILURE,2,2,0.9,False
NUISANCE_AGE_AXIS,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__COMMERCIAL_SETBACK,1,1,1.0,False
NUISANCE_AGE_AXIS,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CREATIVE_OR_MEDIA_PROJECT,12,11,0.8818181818181817,True
NUISANCE_AGE_AXIS,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CRITICAL_FAILURE,2,2,1.0,False
NUISANCE_AGE_AXIS,PROJECT::commercial_success__VS__commercial_failure,5,5,0.16,True
NUISANCE_AGE_AXIS,PROJECT::commercial_success__VS__commercial_underperformance,2,2,0.30000000000000004,False
NUISANCE_AGE_AXIS,PROJECT::commercial_success__VS__financial_failure,1,1,0.0,False
NUISANCE_AGE_AXIS,PROJECT::commercial_success__VS__low_commercial_reach,1,1,0.2,False
NUISANCE_AGE_AXIS,PROJECT::commercial_success__VS__overall_project_failure,3,3,0.20000000000000004,False
NUISANCE_AGE_AXIS,PROJECT::major_project_success__VS__low_initial_reception,1,1,0.0,False
NUISANCE_AGE_AXIS,PROJECT::overall_project_success__VS__overall_project_failure,1,1,0.2,False
NUISANCE_AGE_AXIS,PROJECT::project_revived__VS__project_cancellation,1,1,0.0,False
NUISANCE_AGE_AXIS,PROJECT::project_success__VS__commercial_failure,2,2,0.2,False
NUISANCE_AGE_AXIS,PROJECT::project_success__VS__project_cancellation,3,3,0.20000000000000004,False
NUISANCE_AGE_AXIS,RECOGNITION::FORMAL_RECOGNITION__VS__FORMAL_RECOGNITION,4,3,0.16666666666666666,False
NUISANCE_AGE_AXIS,STATUS::APPOINTMENT_GAIN__VS__ELECTION_LOSS,3,3,1.0,False
NUISANCE_AGE_AXIS,STATUS::APPOINTMENT_GAIN__VS__ROLE_LOSS,1,1,1.0,False
NUISANCE_AGE_AXIS,STATUS::BUSINESS_LEADERSHIP_STATUS__VS__BUSINESS_LEADERSHIP_STATUS,1,1,1.0,False
NUISANCE_AGE_AXIS,STATUS::ELECTION_WIN__VS__ELECTION_LOSS,2,2,0.9,False
NUISANCE_AGE_AXIS,STATUS::appointment_gain__VS__election_campaign_loss,1,1,0.0,False
NUISANCE_AGE_AXIS,STATUS::appointment_gain__VS__election_loss,1,1,0.0,False
NUISANCE_AGE_AXIS,STATUS::appointment_gain__VS__leadership_loss,1,1,0.0,False
NUISANCE_AGE_AXIS,STATUS::election_win__VS__election_loss,2,1,0.0,False
NUISANCE_AGE_AXIS,STATUS::role_gain__VS__role_loss,1,1,0.2,False
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,COMPETITIVE::COMPETITION_OR_PERFORMANCE__VS__COMPETITION_OR_PERFORMANCE,2,1,1.0,False
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,COMPETITIVE::TITLE_WIN__VS__MAJOR_LOSS,16,16,0.6875,True
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,COMPETITIVE::explicit_outcome__VS__explicit_outcome,25,13,1.0,True
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CANCELLATION,2,2,1.0,False
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CAREER_STALL,1,1,1.0,False
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__COMMERCIAL_FAILURE,2,2,1.0,False
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__COMMERCIAL_SETBACK,1,1,1.0,False
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CREATIVE_OR_MEDIA_PROJECT,12,11,0.9090909090909091,True
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CRITICAL_FAILURE,2,2,1.0,False
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,PROJECT::commercial_success__VS__commercial_failure,5,5,1.0,True
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,PROJECT::commercial_success__VS__commercial_underperformance,2,2,1.0,False
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,PROJECT::commercial_success__VS__financial_failure,1,1,1.0,False
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,PROJECT::commercial_success__VS__low_commercial_reach,1,1,1.0,False
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,PROJECT::commercial_success__VS__overall_project_failure,3,3,1.0,False
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,PROJECT::major_project_success__VS__low_initial_reception,1,1,1.0,False
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,PROJECT::overall_project_success__VS__overall_project_failure,1,1,1.0,False
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,PROJECT::project_revived__VS__project_cancellation,1,1,1.0,False
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,PROJECT::project_success__VS__commercial_failure,2,2,1.0,False
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,PROJECT::project_success__VS__project_cancellation,3,3,1.0,False
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,RECOGNITION::FORMAL_RECOGNITION__VS__FORMAL_RECOGNITION,4,3,0.5,False
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,STATUS::APPOINTMENT_GAIN__VS__ELECTION_LOSS,3,3,1.0,False
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,STATUS::APPOINTMENT_GAIN__VS__ROLE_LOSS,1,1,1.0,False
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,STATUS::BUSINESS_LEADERSHIP_STATUS__VS__BUSINESS_LEADERSHIP_STATUS,1,1,1.0,False
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,STATUS::ELECTION_WIN__VS__ELECTION_LOSS,2,2,1.0,False
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,STATUS::appointment_gain__VS__election_campaign_loss,1,1,1.0,False
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,STATUS::appointment_gain__VS__election_loss,1,1,1.0,False
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,STATUS::appointment_gain__VS__leadership_loss,1,1,1.0,False
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,STATUS::election_win__VS__election_loss,2,1,1.0,False
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,STATUS::role_gain__VS__role_loss,1,1,1.0,False
TG10_SB_RELATIONS_L2,COMPETITIVE::COMPETITION_OR_PERFORMANCE__VS__COMPETITION_OR_PERFORMANCE,2,1,0.0,False
TG10_SB_RELATIONS_L2,COMPETITIVE::TITLE_WIN__VS__MAJOR_LOSS,16,16,0.5125,True
TG10_SB_RELATIONS_L2,COMPETITIVE::explicit_outcome__VS__explicit_outcome,25,13,0.28717948717948716,True
TG10_SB_RELATIONS_L2,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CANCELLATION,2,2,0.5,False
TG10_SB_RELATIONS_L2,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CAREER_STALL,1,1,0.0,False
TG10_SB_RELATIONS_L2,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__COMMERCIAL_FAILURE,2,2,0.0,False
TG10_SB_RELATIONS_L2,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__COMMERCIAL_SETBACK,1,1,1.0,False
TG10_SB_RELATIONS_L2,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CREATIVE_OR_MEDIA_PROJECT,12,11,0.30909090909090914,True
TG10_SB_RELATIONS_L2,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CRITICAL_FAILURE,2,2,0.5,False
