subject_id,name,preassigned_axis,collection_wave,birth_year,earlier_year,later_year,year_gap,earlier_is_positive,earlier_polarity,later_polarity,earlier_event_count,later_event_count,earlier_event_types,later_event_types,subject_pair_count,subject_weight,earlier_event_age,later_event_age,calendar_midpoint
V5DEVX_089,Floyd Patterson,COMPETITIVE,E1,1935,1956,1959,3,1,positive,negative,1,1,world_heavyweight_title_win,world_heavyweight_title_loss,3,0.3333333333333333,21,24,1957.5
V5DEVX_089,Floyd Patterson,COMPETITIVE,E1,1935,1959,1960,1,0,negative,positive,1,1,world_heavyweight_title_loss,world_heavyweight_title_reclaim,3,0.3333333333333333,24,25,1959.5
V5DEVX_089,Floyd Patterson,COMPETITIVE,E1,1935,1960,1962,2,1,positive,negative,1,1,world_heavyweight_title_reclaim,world_heavyweight_title_loss,3,0.3333333333333333,25,27,1961.0
V5DEVX_103,Chuck McKinley,COMPETITIVE,E1,1941,1961,1963,2,0,negative,positive,1,2,wimbledon_final_loss,davis_cup_win | wimbledon_title_win,1,1.0,20,22,1962.0
V5DEVX_106,Francesco Damiani,COMPETITIVE,E1,1958,1989,1991,2,1,positive,negative,1,1,world_title_win,world_title_loss,1,1.0,31,33,1990.0
V5DEVX_108,Pete McCloskey,STATUS,E1,1927,1967,1972,5,1,positive,negative,1,1,house_special_election_win,presidential_primary_loss,1,1.0,40,45,1969.5
V5DEVX_115,Ezzard Charles,COMPETITIVE,E1,1921,1949,1951,2,1,positive,negative,1,1,world_heavyweight_title_win,world_heavyweight_title_loss,2,0.5,28,30,1950.0
V5DEVX_115,Ezzard Charles,COMPETITIVE,E1,1921,1949,1954,5,1,positive,negative,1,1,world_heavyweight_title_win,world_title_challenge_loss,2,0.5,28,33,1951.5
V5DEVX_122,Henry Kissinger,STATUS,E1,1923,1973,1975,2,1,positive,negative,1,1,secretary_state_accession,national_security_adviser_removal,1,1.0,50,52,1974.0
V5DEVX_128,Tom Foley,STATUS,E1,1929,1989,1994,5,1,positive,negative,1,1,speaker_accession,reelection_loss,1,1.0,60,65,1991.5
V5DEVX_131,José Mourinho,STATUS,E1,1963,2015,2016,1,0,negative,positive,1,1,chelsea_manager_dismissal,manchester_united_manager_accession,4,0.25,52,53,2015.5
V5DEVX_131,José Mourinho,STATUS,E1,1963,2016,2018,2,1,positive,negative,1,1,manchester_united_manager_accession,manchester_united_manager_dismissal,4,0.25,53,55,2017.0
V5DEVX_131,José Mourinho,STATUS,E1,1963,2018,2021,3,0,negative,positive,1,1,manchester_united_manager_dismissal,roma_manager_accession,4,0.25,55,58,2019.5
V5DEVX_131,José Mourinho,STATUS,E1,1963,2021,2024,3,1,positive,negative,1,1,roma_manager_accession,roma_manager_dismissal,4,0.25,58,61,2022.5
V5DEVX_132,Bruno Visintin,COMPETITIVE,E1,1932,1951,1953,2,1,positive,negative,1,1,european_amateur_title,european_title_challenge_loss,3,0.3333333333333333,19,21,1952.0
V5DEVX_132,Bruno Visintin,COMPETITIVE,E1,1932,1952,1953,1,1,positive,negative,1,1,olympic_bronze,european_title_challenge_loss,3,0.3333333333333333,20,21,1952.5
V5DEVX_132,Bruno Visintin,COMPETITIVE,E1,1932,1960,1964,4,0,negative,positive,1,1,european_title_challenge_loss,european_pro_title_win,3,0.3333333333333333,28,32,1962.0
V5DEVX_142,Stan Smith,COMPETITIVE,E1,1946,1971,1972,1,0,negative,positive,1,1,wimbledon_final_loss,wimbledon_title_win,1,1.0,25,26,1971.5
V5DEVX_147,Michele Sindona,STATUS,E1,1920,1972,1974,2,1,positive,negative,1,1,bank_control_gain,bank_control_collapse,1,1.0,52,54,1973.0
V5DEVX_148,Omar Camporese,COMPETITIVE,E1,1968,1990,1991,1,0,negative,positive,1,1,atp_final_loss,atp_title_win,3,0.3333333333333333,22,23,1990.5
V5DEVX_148,Omar Camporese,COMPETITIVE,E1,1968,1990,1992,2,0,negative,positive,1,1,atp_final_loss,atp_title_win,3,0.3333333333333333,22,24,1991.0
V5DEVX_148,Omar Camporese,COMPETITIVE,E1,1968,1991,1992,1,1,positive,negative,1,1,atp_title_win,grand_slam_round_of_16_loss,3,0.3333333333333333,23,24,1991.5
V5DEVX_154,Richard Gasquet,COMPETITIVE,E1,1986,2005,2007,2,1,positive,negative,1,1,atp_title_win,wimbledon_semifinal_loss,6,0.16666666666666666,19,21,2006.0
V5DEVX_154,Richard Gasquet,COMPETITIVE,E1,1986,2007,2012,5,0,negative,positive,1,1,wimbledon_semifinal_loss,olympic_bronze,6,0.16666666666666666,21,26,2009.5
V5DEVX_154,Richard Gasquet,COMPETITIVE,E1,1986,2012,2013,1,1,positive,negative,1,1,olympic_bronze,us_open_semifinal_loss,6,0.16666666666666666,26,27,2012.5
V5DEVX_154,Richard Gasquet,COMPETITIVE,E1,1986,2012,2015,3,1,positive,negative,1,1,olympic_bronze,wimbledon_semifinal_loss,6,0.16666666666666666,26,29,2013.5
V5DEVX_154,Richard Gasquet,COMPETITIVE,E1,1986,2013,2017,4,0,negative,positive,1,1,us_open_semifinal_loss,davis_cup_win,6,0.16666666666666666,27,31,2015.0
V5DEVX_154,Richard Gasquet,COMPETITIVE,E1,1986,2015,2017,2,0,negative,positive,1,1,wimbledon_semifinal_loss,davis_cup_win,6,0.16666666666666666,29,31,2016.0
V5DEVE2_001,Henri Leconte,COMPETITIVE,E2,1963,1984,1988,4,1,positive,negative,1,1,grand_slam_doubles_title,grand_slam_singles_final_loss,2,0.5,21,25,1986.0
V5DEVE2_001,Henri Leconte,COMPETITIVE,E2,1963,1988,1991,3,0,negative,positive,1,1,grand_slam_singles_final_loss,davis_cup_team_title,2,0.5,25,28,1989.5
V5DEVE2_003,Richard Nixon,STATUS,E2,1913,1972,1974,2,1,positive,negative,1,1,presidential_reelection_win,presidential_resignation,1,1.0,59,61,1973.0
V5DEVE2_007,Gaston Reiff,COMPETITIVE,E2,1921,1948,1952,4,1,positive,negative,1,1,olympic_gold,olympic_final_dnf,2,0.5,27,31,1950.0
V5DEVE2_007,Gaston Reiff,COMPETITIVE,E2,1921,1950,1952,2,1,positive,negative,1,1,european_championship_bronze,olympic_final_dnf,2,0.5,29,31,1951.0
V5DEVE2_009,Jimmy Carter,STATUS,E2,1924,1976,1980,4,1,positive,negative,1,1,presidential_election_win,presidential_reelection_loss,1,1.0,52,56,1978.0
V5DEVE2_013,Bernard Hinault,COMPETITIVE,E2,1954,1978,1980,2,1,positive,negative,1,1,tour_de_france_win,tour_de_france_withdrawal_while_leading,2,0.5,24,26,1979.0
V5DEVE2_013,Bernard Hinault,COMPETITIVE,E2,1954,1980,1985,5,0,negative,positive,1,1,tour_de_france_withdrawal_while_leading,tour_de_france_win,2,0.5,26,31,1982.5
V5DEVE2_015,Alain Peyrefitte,STATUS,E2,1925,1967,1968,1,1,positive,negative,1,1,education_minister_accession,ministerial_resignation,1,1.0,42,43,1967.5
V5DEVE2_022,Gottfried von Cramm,COMPETITIVE,E2,1909,1934,1935,1,1,positive,negative,1,1,grand_slam_singles_title,grand_slam_singles_final_loss,2,0.5,25,26,1934.5
V5DEVE2_022,Gottfried von Cramm,COMPETITIVE,E2,1909,1935,1936,1,0,negative,positive,1,1,grand_slam_singles_final_loss,grand_slam_singles_title,2,0.5,26,27,1935.5
V5DEVE2_027,Dan Quayle,STATUS,E2,1947,1988,1992,4,1,positive,negative,1,1,vice_presidential_election_win,vice_presidential_reelection_loss,1,1.0,41,45,1990.0
V5DEVE2_028,Laurent Fignon,COMPETITIVE,E2,1960,1984,1989,5,1,positive,negative,1,1,tour_de_france_win,tour_de_france_runner_up,1,1.0,24,29,1986.5
V5DEVE2_042,Massimo D'Alema,STATUS,E2,1949,1998,2000,2,1,positive,negative,1,1,prime_minister_accession,prime_minister_resignation,1,1.0,49,51,1999.0
V5DEVE2_061,Giuseppe Pella,STATUS,E2,1902,1953,1954,1,1,positive,negative,1,1,prime_minister_accession,prime_minister_resignation,1,1.0,51,52,1953.5
V5DEVE2_080,François de Menthon,STATUS,E2,1900,1944,1945,1,1,positive,negative,1,1,justice_minister_accession,justice_minister_exit,1,1.0,44,45,1944.5
V5DEVE2_083,Valentino Rossi,COMPETITIVE,E2,1979,2001,2006,5,1,positive,negative,1,1,motorcycle_world_title,motorcycle_world_title_runner_up,1,1.0,22,27,2003.5
V5DEVE2_106,Gaël Monfils,COMPETITIVE,E2,1986,2005,2008,3,1,positive,negative,1,1,atp_title_win,grand_slam_semifinal_loss,1,1.0,19,22,2006.5
V5DEVE2_115,John Ruiz,COMPETITIVE,E2,1972,2004,2005,1,1,positive,negative,1,1,wba_heavyweight_title_win,wba_heavyweight_title_loss,1,1.0,32,33,2004.5
V5DEVE2_128,C. William O'Neill,STATUS,E2,1916,1956,1958,2,1,positive,negative,1,1,governor_election_win,governor_reelection_loss,2,0.5,40,42,1957.0
V5DEVE2_128,C. William O'Neill,STATUS,E2,1916,1958,1960,2,0,negative,positive,1,1,governor_reelection_loss,state_supreme_court_accession,2,0.5,42,44,1959.0
V5DEVE2_154,René Lacoste,COMPETITIVE,E2,1904,1924,1925,1,0,negative,positive,1,2,wimbledon_final_loss,french_championships_title | wimbledon_title,1,1.0,20,21,1924.5
V5DEVE2_160,François Bayrou,STATUS,E2,1951,2024,2025,1,1,positive,negative,1,1,prime_minister_accession,prime_minister_exit,1,1.0,73,74,2024.5
V5DEV_001,Isabelle Duchesnay,COMPETITIVE,ORIGINAL,1963,1988,1991,3,0,negative,positive,1,1,olympic_non_medal_finish,world_championship_win,2,0.5,25,28,1989.5
V5DEV_001,Isabelle Duchesnay,COMPETITIVE,ORIGINAL,1963,1988,1992,4,0,negative,positive,1,1,olympic_non_medal_finish,olympic_medal,2,0.5,25,29,1990.0
V5DEV_003,Valentina Vezzali,COMPETITIVE,ORIGINAL,1974,1996,2000,4,0,negative,positive,1,1,olympic_final_loss,olympic_gold,1,1.0,22,26,1998.0
V5DEV_005,Dominique Monami,COMPETITIVE,ORIGINAL,1973,1997,1999,2,1,positive,negative,1,1,tour_title_win,grand_slam_elimination,5,0.2,24,26,1998.0
V5DEV_005,Dominique Monami,COMPETITIVE,ORIGINAL,1973,1997,2000,3,1,positive,negative,1,1,tour_title_win,tour_final_loss,5,0.2,24,27,1998.5
V5DEV_005,Dominique Monami,COMPETITIVE,ORIGINAL,1973,1998,1999,1,1,positive,negative,1,1,tour_title_win,grand_slam_elimination,5,0.2,25,26,1998.5
V5DEV_005,Dominique Monami,COMPETITIVE,ORIGINAL,1973,1998,2000,2,1,positive,negative,1,1,tour_title_win,tour_final_loss,5,0.2,25,27,1999.0
V5DEV_005,Dominique Monami,COMPETITIVE,ORIGINAL,1973,1999,2000,1,0,negative,positive,1,1,grand_slam_elimination,olympic_medal,5,0.2,26,27,1999.5
V5DEV_007,Sébastien Chabal,COMPETITIVE,ORIGINAL,1977,2007,2010,3,0,negative,positive,1,1,world_cup_medal_match_loss,six_nations_grand_slam_win,1,1.0,30,33,2008.5
V5DEV_008,Sabine Appelmans,COMPETITIVE,ORIGINAL,1972,1997,1998,1,0,negative,positive,1,1,grand_slam_quarterfinal_loss,tour_doubles_title_win,2,0.5,25,26,1997.5
V5DEV_008,Sabine Appelmans,COMPETITIVE,ORIGINAL,1972,1997,2000,3,0,negative,positive,1,1,grand_slam_quarterfinal_loss,tour_doubles_title_win,2,0.5,25,28,1998.5
V5DEV_009,Loris Stecca,COMPETITIVE,ORIGINAL,1960,1984,1985,1,1,positive,negative,1,1,world_title_win,world_title_challenge_loss,1,1.0,24,25,1984.5
V5DEV_010,Kenny de Schepper,COMPETITIVE,ORIGINAL,1987,2013,2014,1,0,negative,positive,1,1,grand_slam_round_of_16_loss,career_high_ranking,1,1.0,26,27,2013.5
V5DEV_011,Guillaume Raoux,COMPETITIVE,ORIGINAL,1970,1996,1997,1,1,positive,negative,1,1,davis_cup_title_win,tour_final_loss,2,0.5,26,27,1996.5
V5DEV_011,Guillaume Raoux,COMPETITIVE,ORIGINAL,1970,1996,1998,2,1,positive,negative,1,1,davis_cup_title_win,grand_slam_round_of_16_loss,2,0.5,26,28,1997.0
V5DEV_012,Pierre Langlois,COMPETITIVE,ORIGINAL,1925,1950,1954,4,0,negative,positive,1,1,french_title_challenge_loss,major_contender_upset_win,2,0.5,25,29,1952.0
V5DEV_012,Pierre Langlois,COMPETITIVE,ORIGINAL,1925,1954,1955,1,1,positive,negative,1,1,major_contender_upset_win,world_title_eliminator_loss,2,0.5,29,30,1954.5
V5DEV_013,David Goffin,COMPETITIVE,ORIGINAL,1990,2014,2017,3,1,positive,negative,1,1,tour_title_win,season_final_loss,2,0.5,24,27,2015.5
V5DEV_013,David Goffin,COMPETITIVE,ORIGINAL,1990,2017,2022,5,0,negative,positive,1,1,season_final_loss,tour_title_win,2,0.5,27,32,2019.5
V5DEV_014,Nicolas Mahut,COMPETITIVE,ORIGINAL,1982,2010,2015,5,0,negative,positive,1,1,grand_slam_match_loss,grand_slam_doubles_title,4,0.25,28,33,2012.5
V5DEV_014,Nicolas Mahut,COMPETITIVE,ORIGINAL,1982,2015,2018,3,1,positive,negative,1,1,grand_slam_doubles_title,season_final_loss,4,0.25,33,36,2016.5
V5DEV_014,Nicolas Mahut,COMPETITIVE,ORIGINAL,1982,2016,2018,2,1,positive,negative,1,1,grand_slam_doubles_title,season_final_loss,4,0.25,34,36,2017.0
V5DEV_014,Nicolas Mahut,COMPETITIVE,ORIGINAL,1982,2018,2019,1,0,negative,positive,1,1,season_final_loss,grand_slam_doubles_title,4,0.25,36,37,2018.5
V5DEV_015,Nathalie Tauziat,COMPETITIVE,ORIGINAL,1967,1998,1999,1,0,negative,positive,1,1,grand_slam_final_loss,tour_title_win,2,0.5,31,32,1998.5
V5DEV_015,Nathalie Tauziat,COMPETITIVE,ORIGINAL,1967,1998,2000,2,0,negative,positive,1,1,grand_slam_final_loss,tour_title_and_ranking_peak,2,0.5,31,33,1999.0
V5DEV_017,Mario D'Agata,COMPETITIVE,ORIGINAL,1926,1956,1957,1,1,positive,negative,1,1,world_title_win,world_title_loss,1,1.0,30,31,1956.5
V5DEV_020,Franck Ribéry,COMPETITIVE,ORIGINAL,1983,2012,2013,1,0,negative,positive,1,2,champions_league_final_loss,champions_league_win | major_individual_award,1,1.0,29,30,2012.5
V5DEV_022,Andre Routis,COMPETITIVE,ORIGINAL,1900,1928,1929,1,1,positive,negative,1,1,world_title_win,world_title_loss,1,1.0,28,29,1928.5
V5DEV_023,Nino Benvenuti,COMPETITIVE,ORIGINAL,1938,1965,1966,1,1,positive,negative,1,1,world_title_win,world_title_loss,8,0.125,27,28,1965.5
V5DEV_023,Nino Benvenuti,COMPETITIVE,ORIGINAL,1938,1965,1967,2,1,positive,negative,1,1,world_title_win,world_title_loss,8,0.125,27,29,1966.0
V5DEV_023,Nino Benvenuti,COMPETITIVE,ORIGINAL,1938,1965,1970,5,1,positive,negative,1,1,world_title_win,world_title_loss,8,0.125,27,32,1967.5
V5DEV_023,Nino Benvenuti,COMPETITIVE,ORIGINAL,1938,1966,1967,1,0,negative,positive,1,1,world_title_loss,world_title_win,8,0.125,28,29,1966.5
V5DEV_023,Nino Benvenuti,COMPETITIVE,ORIGINAL,1938,1966,1968,2,0,negative,positive,1,1,world_title_loss,world_title_reclaim,8,0.125,28,30,1967.0
V5DEV_023,Nino Benvenuti,COMPETITIVE,ORIGINAL,1938,1967,1968,1,0,negative,positive,1,1,world_title_loss,world_title_reclaim,8,0.125,29,30,1967.5
V5DEV_023,Nino Benvenuti,COMPETITIVE,ORIGINAL,1938,1967,1970,3,1,positive,negative,1,1,world_title_win,world_title_loss,8,0.125,29,32,1968.5
V5DEV_023,Nino Benvenuti,COMPETITIVE,ORIGINAL,1938,1968,1970,2,1,positive,negative,1,1,world_title_reclaim,world_title_loss,8,0.125,30,32,1969.0
V5DEV_024,Domenico Adinolfi,COMPETITIVE,ORIGINAL,1946,1974,1976,2,1,positive,negative,1,1,continental_title_win,continental_title_loss,1,1.0,28,30,1975.0
V5DEV_025,Martin Lauer,COMPETITIVE,ORIGINAL,1937,1956,1958,2,0,negative,positive,1,1,olympic_non_medal_finish,european_championship_win,5,0.2,19,21,1957.0
V5DEV_025,Martin Lauer,COMPETITIVE,ORIGINAL,1937,1956,1959,3,0,negative,positive,1,1,olympic_non_medal_finish,world_record,5,0.2,19,22,1957.5
V5DEV_025,Martin Lauer,COMPETITIVE,ORIGINAL,1937,1956,1960,4,0,negative,positive,1,1,olympic_non_medal_finish,olympic_gold,5,0.2,19,23,1958.0
V5DEV_025,Martin Lauer,COMPETITIVE,ORIGINAL,1937,1958,1960,2,1,positive,negative,1,1,european_championship_win,olympic_non_medal_finish,5,0.2,21,23,1959.0
V5DEV_025,Martin Lauer,COMPETITIVE,ORIGINAL,1937,1959,1960,1,1,positive,negative,1,1,world_record,olympic_non_medal_finish,5,0.2,22,23,1959.5
V5DEV_026,Heinz Neuhaus,COMPETITIVE,ORIGINAL,1926,1952,1955,3,1,positive,negative,1,1,european_title_win,european_title_loss,3,0.3333333333333333,26,29,1953.5
V5DEV_026,Heinz Neuhaus,COMPETITIVE,ORIGINAL,1926,1952,1956,4,1,positive,negative,1,1,european_title_win,european_title_challenge_loss,3,0.3333333333333333,26,30,1954.0
V5DEV_026,Heinz Neuhaus,COMPETITIVE,ORIGINAL,1926,1952,1957,5,1,positive,negative,1,1,european_title_win,national_title_loss,3,0.3333333333333333,26,31,1954.5
V5DEV_028,Robert Haillet,COMPETITIVE,ORIGINAL,1931,1958,1960,2,1,positive,negative,1,1,monte_carlo_title_win,grand_slam_semifinal_loss,2,0.5,27,29,1959.0
V5DEV_028,Robert Haillet,COMPETITIVE,ORIGINAL,1931,1959,1960,1,1,positive,negative,1,1,monte_carlo_title_win,grand_slam_semifinal_loss,2,0.5,28,29,1959.5
V5DEV_029,Freddie Miller,COMPETITIVE,ORIGINAL,1911,1933,1936,3,1,positive,negative,1,1,world_title_win,world_title_loss,2,0.5,22,25,1934.5
V5DEV_029,Freddie Miller,COMPETITIVE,ORIGINAL,1911,1935,1936,1,1,positive,negative,1,1,ring_world_title,world_title_loss,2,0.5,24,25,1935.5
V5DEV_030,Francesco Cancellotti,COMPETITIVE,ORIGINAL,1963,1983,1984,1,0,negative,positive,1,1,tour_final_loss,tour_titles_win,7,0.14285714285714285,20,21,1983.5
V5DEV_030,Francesco Cancellotti,COMPETITIVE,ORIGINAL,1963,1983,1985,2,0,negative,positive,1,1,tour_final_loss,career_high_ranking,7,0.14285714285714285,20,22,1984.0
V5DEV_030,Francesco Cancellotti,COMPETITIVE,ORIGINAL,1963,1984,1985,1,0,negative,positive,1,1,tour_final_loss,career_high_ranking,7,0.14285714285714285,21,22,1984.5
V5DEV_030,Francesco Cancellotti,COMPETITIVE,ORIGINAL,1963,1984,1987,3,1,positive,negative,1,1,tour_titles_win,tour_final_losses,7,0.14285714285714285,21,24,1985.5
V5DEV_030,Francesco Cancellotti,COMPETITIVE,ORIGINAL,1963,1984,1988,4,1,positive,negative,1,1,tour_titles_win,tour_final_loss,7,0.14285714285714285,21,25,1986.0
V5DEV_030,Francesco Cancellotti,COMPETITIVE,ORIGINAL,1963,1985,1987,2,1,positive,negative,1,1,career_high_ranking,tour_final_losses,7,0.14285714285714285,22,24,1986.0
V5DEV_030,Francesco Cancellotti,COMPETITIVE,ORIGINAL,1963,1985,1988,3,1,positive,negative,1,1,career_high_ranking,tour_final_loss,7,0.14285714285714285,22,25,1986.5
V5DEV_031,Harold Gomes,COMPETITIVE,ORIGINAL,1933,1959,1960,1,1,positive,negative,1,2,world_title_win,world_title_loss | world_title_rematch_loss,1,1.0,26,27,1959.5
V5DEV_034,Fritz Walter,COMPETITIVE,ORIGINAL,1920,1951,1954,3,1,positive,negative,1,1,national_championship_win,world_cup_match_loss,2,0.5,31,34,1952.5
V5DEV_034,Fritz Walter,COMPETITIVE,ORIGINAL,1920,1953,1954,1,1,positive,negative,1,1,national_championship_win,world_cup_match_loss,2,0.5,33,34,1953.5
V5DEV_035,Benoît Paire,COMPETITIVE,ORIGINAL,1989,2013,2015,2,0,negative,positive,1,1,tour_final_loss,tour_title_win,2,0.5,24,26,2014.0
V5DEV_035,Benoît Paire,COMPETITIVE,ORIGINAL,1989,2015,2019,4,0,negative,positive,1,2,tour_final_loss,tour_title_win,2,0.5,26,30,2017.0
V5DEV_036,Albert Yvel,COMPETITIVE,ORIGINAL,1927,1946,1948,2,1,positive,negative,1,1,north_african_title_win,french_title_challenge_loss,6,0.16666666666666666,19,21,1947.0
V5DEV_036,Albert Yvel,COMPETITIVE,ORIGINAL,1927,1946,1951,5,1,positive,negative,1,1,north_african_title_win,european_title_loss,6,0.16666666666666666,19,24,1948.5
V5DEV_036,Albert Yvel,COMPETITIVE,ORIGINAL,1927,1948,1949,1,0,negative,positive,1,1,french_title_challenge_loss,french_title_win,6,0.16666666666666666,21,22,1948.5
V5DEV_036,Albert Yvel,COMPETITIVE,ORIGINAL,1927,1948,1950,2,0,negative,positive,1,1,french_title_challenge_loss,european_title_win,6,0.16666666666666666,21,23,1949.0
V5DEV_036,Albert Yvel,COMPETITIVE,ORIGINAL,1927,1949,1951,2,1,positive,negative,1,1,french_title_win,european_title_loss,6,0.16666666666666666,22,24,1950.0
V5DEV_036,Albert Yvel,COMPETITIVE,ORIGINAL,1927,1950,1951,1,1,positive,negative,1,1,european_title_win,european_title_loss,6,0.16666666666666666,23,24,1950.5
V5DEV_037,Sergio Caprari,COMPETITIVE,ORIGINAL,1932,1952,1956,4,0,negative,positive,1,1,olympic_final_loss,national_title_win,4,0.25,20,24,1954.0
V5DEV_037,Sergio Caprari,COMPETITIVE,ORIGINAL,1932,1956,1958,2,1,positive,negative,1,1,national_title_win,continental_title_loss,4,0.25,24,26,1957.0
V5DEV_037,Sergio Caprari,COMPETITIVE,ORIGINAL,1932,1956,1961,5,1,positive,negative,1,1,national_title_win,world_title_challenge_loss,4,0.25,24,29,1958.5
V5DEV_037,Sergio Caprari,COMPETITIVE,ORIGINAL,1932,1958,1961,3,1,positive,negative,1,1,continental_title_win,world_title_challenge_loss,4,0.25,26,29,1959.5
V5DEV_038,Guy Forget,COMPETITIVE,ORIGINAL,1965,1986,1990,4,0,negative,positive,1,1,season_final_runner_up,season_final_title_win,4,0.25,21,25,1988.0
V5DEV_038,Guy Forget,COMPETITIVE,ORIGINAL,1965,1986,1991,5,0,negative,positive,1,1,season_final_runner_up,davis_cup_title_win,4,0.25,21,26,1988.5
